Topic;Word_1;Word_2;Word_3;Word_4;Word_5;Word_6;Word_7;Word_8;Word_9;Word_10;Score_1;Score_2;Score_3;Score_4;Score_5;Score_6;Score_7;Score_8;Score_9;Score_10
0;samarbejde;videnskabelige;organisationer;faglighed;forældre;mennesker;en;grund;sociale;hvordan;0.1518065468918693;0.1518065468918693;0.1518065468918693;0.1518065468918693;0.1518065468918693;0.1518065468918693;0.1518065468918693;0.1518065468918693;0.1518065468918693;0.1518065468918693
1;kropslig;igangsætte;understøtte;skole;omsorgsbehov;herom;handle;fritidstilbud;fritidspædagogik;produktion;0.13362124106106746;0.13362124106106746;0.13362124106106746;0.13362124106106746;0.13362124106106746;0.13362124106106746;0.13362124106106746;0.13362124106106746;0.13362124106106746;0.13362124106106746
2;forsvarligt;kolleger;professionelt;lgruppen;historiske;samfundsmæssige;på;institutionelle;kommunikation;sammenhæng;0.21834814436955896;0.21834814436955896;0.21834814436955896;0.21834814436955896;0.21834814436955896;0.21834814436955896;0.21834814436955896;0.21834814436955896;0.21834814436955896;0.21834814436955896
3;lrettet;evaluere;vurdering;miljøer;muligheder;skal;alternative;barnets;bidrage;redegøre;0.17921678757813433;0.17921678757813433;0.17921678757813433;0.17921678757813433;0.17921678757813433;0.17921678757813433;0.17921678757813433;0.17921678757813433;0.17921678757813433;0.17921678757813433
4;familieformer;seksualitet;indsatser;dannende;tværfagligt;tre;særligt;muliggør;specialpædagogiske;identitet;0.1381854277618622;0.1381854277618622;0.1381854277618622;0.1381854277618622;0.1381854277618622;0.1381854277618622;0.1381854277618622;0.1381854277618622;0.1381854277618622;0.1381854277618622
5;relationer;hvor;beherske;planlægning;dømmekraft;fremstille;udvikler;børnegruppen;forskningsinformeret;børnene;0.1324759998351939;0.1324759998351939;0.1324759998351939;0.1324759998351939;0.1324759998351939;0.1324759998351939;0.1324759998351939;0.1324759998351939;0.1324759998351939;0.1324759998351939
6;inkluderende;didaktiske;inklusion;læringsmiljøer;henblik;reflektere;faciliterer;undervisningsforløb;visningsforløb;etiske;0.2201861711080611;0.2201861711080611;0.2201861711080611;0.2201861711080611;0.2201861711080611;0.2201861711080611;0.2201861711080611;0.2201861711080611;0.2201861711080611;0.2201861711080611
7;digitale;ha;bidrager;kreativ;inden;nytænkning;ved;praksisser;musik;organisationsformer;0.1819371742864307;0.1819371742864307;0.1819371742864307;0.1819371742864307;0.1819371742864307;0.1819371742864307;0.1819371742864307;0.1819371742864307;0.1819371742864307;0.1819371742864307
8;demonstrere;udvalgte;værdier;pædagogfaglige;gennemførelse;praktiske;voksne;perspektivere;tilrettelæggelse;opgave;0.15994618248709033;0.15994618248709033;0.15994618248709033;0.15994618248709033;0.15994618248709033;0.15994618248709033;0.15994618248709033;0.15994618248709033;0.15994618248709033;0.15994618248709033
9;institutionens;ressourcer;hverdagsliv;børnegruppens;dokumentation;deltagelsesmuligheder;mangfoldighed;kulturelle;kvalificere;leg;0.18057097245213888;0.18057097245213888;0.18057097245213888;0.18057097245213888;0.18057097245213888;0.18057097245213888;0.15350182354448194;0.15350182354448194;0.15350182354448194;0.15350182354448194